request_id,phase_type,t_start,t_end,prefill_tokens,decode_tokens
cmpl-6c13441306494c16a197196a8dd06986,decode,64.57413721084595,68.52611970901489,0,566
cmpl-acdd77478f5b4f629b5a6ec073a87184,prefill,69.22744035720825,69.37495183944702,6366,0
cmpl-acdd77478f5b4f629b5a6ec073a87184,decode,69.37495183944702,72.92240142822266,0,474
cmpl-0a3b2c0174164aacbc77124e0eb5e89e,prefill,67.66828179359436,67.71071362495422,1957,0
cmpl-0a3b2c0174164aacbc77124e0eb5e89e,decode,67.71071362495422,75.12590909004211,0,985
cmpl-c280debb64c6479dbacec38de23c24b4,prefill,70.77589702606201,70.92984509468079,6443,0
cmpl-c280debb64c6479dbacec38de23c24b4,decode,70.92984509468079,78.22135376930237,0,949
cmpl-0a6e6c62cacf45c59cd9630c1f91a246,prefill,72.32607173919678,72.40719819068909,3835,0
cmpl-0a6e6c62cacf45c59cd9630c1f91a246,decode,72.40719819068909,79.20875072479248,0,881
cmpl-992956e95d374636af17492cf91d9b61,prefill,73.88407897949219,74.05775451660156,7168,0
cmpl-992956e95d374636af17492cf91d9b61,decode,74.05775451660156,80.51014637947083,0,838
cmpl-6380f936461344128f646fd799d2a9e1,prefill,81.63301110267639,81.7418224811554,4723,0
cmpl-6380f936461344128f646fd799d2a9e1,decode,81.7418224811554,83.12852168083191,0,191
cmpl-2c7ed45c1abb481db9ffc0b72d9ae3aa,prefill,76.97962260246277,77.12051773071289,5797,0
cmpl-2c7ed45c1abb481db9ffc0b72d9ae3aa,decode,77.12051773071289,85.08891987800598,0,1024
cmpl-cc980a1a29d64b1988851736229b45ac,prefill,83.1815197467804,83.34945392608643,6913,0
cmpl-cc980a1a29d64b1988851736229b45ac,decode,83.34945392608643,86.5001471042633,0,402
cmpl-384ee2fe528141ec8791d184d536e17f,prefill,78.53341817855835,78.59854412078857,3104,0
cmpl-384ee2fe528141ec8791d184d536e17f,decode,78.59854412078857,86.58325242996216,0,1024
cmpl-f68e7cae1d164889b52aabacec152d8d,prefill,80.08026051521301,80.1986358165741,4662,0
cmpl-f68e7cae1d164889b52aabacec152d8d,decode,80.1986358165741,88.15383815765381,0,1024
cmpl-437f7d68f706434d904723b00868a71c,prefill,84.73226189613342,84.89675283432007,6839,0
cmpl-437f7d68f706434d904723b00868a71c,decode,84.89675283432007,89.1932156085968,0,575
cmpl-9da04f99802949b6b2f9a219416e1605,prefill,89.3760974407196,89.41463327407837,1785,0
cmpl-9da04f99802949b6b2f9a219416e1605,decode,89.41463327407837,93.13365888595581,0,503
cmpl-caa77821aced42b5aa2b2c34dfbd8cc3,prefill,86.27672529220581,86.35040974617004,3359,0
cmpl-caa77821aced42b5aa2b2c34dfbd8cc3,decode,86.35040974617004,93.90360975265503,0,1024
cmpl-e43d8b0a45de4c4997f672c966a5bb65,prefill,87.82879090309143,87.92671251296997,4280,0
cmpl-e43d8b0a45de4c4997f672c966a5bb65,decode,87.92671251296997,95.44305753707886,0,1024
cmpl-8c71987b1c524fc79b2f5f0672fb1fce,prefill,95.57449054718018,95.61650609970093,1766,0
cmpl-8c71987b1c524fc79b2f5f0672fb1fce,decode,95.61650609970093,99.31937146186829,0,511
cmpl-635e55f8232f4f6692cbab7495b0c810,prefill,92.4828028678894,92.62373042106628,5782,0
cmpl-635e55f8232f4f6692cbab7495b0c810,decode,92.62373042106628,100.07508683204651,0,1024
cmpl-ac321e04b9444529819dd2f170e7f117,prefill,94.0288097858429,94.10539293289185,3664,0
cmpl-ac321e04b9444529819dd2f170e7f117,decode,94.10539293289185,101.58827233314514,0,1024
cmpl-ae37b2a6b7b145839bdfc89e53d5c5d8,prefill,98.68492293357849,98.79177355766296,4394,0
cmpl-ae37b2a6b7b145839bdfc89e53d5c5d8,decode,98.79177355766296,103.32050490379333,0,608
cmpl-3e6b45581e564ba6913b2e7b25ac3489,prefill,97.12346529960632,97.1311399936676,2,0
cmpl-3e6b45581e564ba6913b2e7b25ac3489,decode,97.1311399936676,103.38317131996155,0,839
cmpl-3d87d9f57cfa42428f991f2185be86ec,prefill,100.23667526245117,100.3576238155365,5182,0
cmpl-3d87d9f57cfa42428f991f2185be86ec,decode,100.3576238155365,106.34740591049194,0,842
cmpl-f49a8f27b6a0424095d793e78c24060b,prefill,101.78378653526306,101.8893187046051,4507,0
cmpl-f49a8f27b6a0424095d793e78c24060b,decode,101.8893187046051,107.41058158874512,0,796
cmpl-c693fa36b2944f81b639a5b07cfd8940,prefill,110.16592693328857,110.25362348556519,3905,0
cmpl-c693fa36b2944f81b639a5b07cfd8940,decode,110.25362348556519,112.29289841651917,0,302
cmpl-579abd21f73c47378e66ac53b7d4a7ac,prefill,112.51792621612549,112.5614812374115,2017,0
cmpl-579abd21f73c47378e66ac53b7d4a7ac,decode,112.5614812374115,114.39013481140137,0,269
