request_id,phase_type,t_start,t_end,prefill_tokens,decode_tokens
cmpl-f721293eb12f4bc1b8c4aafdabd1151d,prefill,40.24057745933533,40.28278827667236,4619,0
cmpl-f721293eb12f4bc1b8c4aafdabd1151d,decode,40.28278827667236,41.16357898712158,0,276
cmpl-218e935873754d7ab686622fa4498237,prefill,39.215741872787476,39.235856771469116,3104,0
cmpl-218e935873754d7ab686622fa4498237,decode,39.235856771469116,42.60369324684143,0,1024
cmpl-ff0d8e0f1f634f13ac32dd8e03f21a0e,prefill,41.257619857788086,41.28288006782532,3835,0
cmpl-ff0d8e0f1f634f13ac32dd8e03f21a0e,decode,41.28288006782532,44.248255491256714,0,881
cmpl-e8645c3c610e4b0b899fba48caa0201b,prefill,43.30787706375122,43.35573744773865,6366,0
cmpl-e8645c3c610e4b0b899fba48caa0201b,decode,43.35573744773865,44.97051548957825,0,474
cmpl-f841bcd3820e4b2baf8179821aa65a14,prefill,42.28490424156189,42.331003189086914,7168,0
cmpl-f841bcd3820e4b2baf8179821aa65a14,decode,42.331003189086914,45.18040466308594,0,838
cmpl-1c3dee0649f44347bd06a11b1a2403b9,prefill,44.32616877555847,44.35500955581665,4280,0
cmpl-1c3dee0649f44347bd06a11b1a2403b9,decode,44.35500955581665,47.81110215187073,0,1024
cmpl-f44d21f1ce244e82a3604158d4212775,prefill,45.3511118888855,45.39488124847412,6443,0
cmpl-f44d21f1ce244e82a3604158d4212775,decode,45.39488124847412,48.58970856666565,0,949
cmpl-f51be1386ccd4698a02b6b629e2d915f,prefill,47.390987157821655,47.41700887680054,3664,0
cmpl-f51be1386ccd4698a02b6b629e2d915f,decode,47.41700887680054,50.86402916908264,0,1024
cmpl-478f5555a2b54d8f97bb52dfb871d374,prefill,50.45444059371948,50.49220824241638,4723,0
cmpl-478f5555a2b54d8f97bb52dfb871d374,decode,50.49220824241638,51.13100290298462,0,191
cmpl-b5fcfe43b7614ba0939e02013f9191b9,prefill,48.41048288345337,48.450026512145996,4662,0
